"","year","population","co2"
"18106",2003,81346808,900.628
"18107",2004,81266672,886.637
"18108",2005,81212168,866.303
"18109",2006,81177816,877.939
"18110",2007,81183832,851.223
"18111",2008,81217488,854.508
"18112",2009,81260624,789.9
"18113",2010,81325088,832.541
"18114",2011,81423384,808.911
"18115",2012,81545568,813.693
"18116",2013,81680592,831.208
"18117",2014,81858824,792.255
"18118",2015,82073232,795.557
"18119",2016,82331432,800.34
"18120",2017,82624368,785.616
"18121",2018,82896696,754.408
"18122",2019,83148144,707.15
"18123",2020,83328992,639.381
"18124",2021,83408560,674.754
